path	tag_git_blob	correction_git_blob	identical
cmake/Packaging.cmake	76fb6a9c7d70af701d86d1f8c3d500b67ca466aa	76fb6a9c7d70af701d86d1f8c3d500b67ca466aa	true
cmake/RuntimeObjects.cmake	fccb1a600343d2881a839e20ec221c5e571f7f16	fccb1a600343d2881a839e20ec221c5e571f7f16	true
docs/arrays.md	57b88ba92777eb10012e98b859c7cc17b093db25	57b88ba92777eb10012e98b859c7cc17b093db25	true
docs/building.md	eff9d81389bb16c90fe41c95193a79dc74aa8ec8	eff9d81389bb16c90fe41c95193a79dc74aa8ec8	true
docs/interop.md	8366111d277b0bf8617060e32afbf0bd2dd63794	8366111d277b0bf8617060e32afbf0bd2dd63794	true
docs/lambdas.md	74d000ef5761f6d1c702f6761ffcb2dbe1217a4b	74d000ef5761f6d1c702f6761ffcb2dbe1217a4b	true
docs/match.md	2979a3a43defa02b7a2bb8c6b2ab23d3859a110e	2979a3a43defa02b7a2bb8c6b2ab23d3859a110e	true
docs/memory.md	b6d9ea4a1167c80d8502dfece3cf76804aabe21b	b6d9ea4a1167c80d8502dfece3cf76804aabe21b	true
docs/namespaces.md	3fdd8d2fb3683673fcc34252eeebb77ea919a562	3fdd8d2fb3683673fcc34252eeebb77ea919a562	true
docs/overview.md	94c244f63384aae927e9aba95b425ba392cd3c5c	94c244f63384aae927e9aba95b425ba392cd3c5c	true
docs/quick-start.md	5117bf4235229e0e7c84d60ebc0f420e139be35f	5117bf4235229e0e7c84d60ebc0f420e139be35f	true
docs/readme.md	1e0cfa0766f2e6660ee887469ba429b2a5c85f19	1e0cfa0766f2e6660ee887469ba429b2a5c85f19	true
docs/strings.md	6c6ba4a5e3d00ce2034d4d2b072e51e0324756a7	6c6ba4a5e3d00ce2034d4d2b072e51e0324756a7	true
docs/structs.md	8d3b70cfe0b2aad76afb04338f32c8950a63fffe	8d3b70cfe0b2aad76afb04338f32c8950a63fffe	true
docs/threading.md	c3f247447fc9285146abe677c2666d9aa2d4210a	c3f247447fc9285146abe677c2666d9aa2d4210a	true
etc/sn.cfg	9aba46c0d21d36fbc970d341c5d0c2bc9d8d90fc	9aba46c0d21d36fbc970d341c5d0c2bc9d8d90fc	true
etc/sn.darwin.cfg	dedcf877c1d23922698cdfb576d6a0a470dc06aa	dedcf877c1d23922698cdfb576d6a0a470dc06aa	true
etc/sn.linux.cfg	c9ff1e9a39f1496c0d75dcaf134807f8adf61c55	c9ff1e9a39f1496c0d75dcaf134807f8adf61c55	true
etc/sn.windows.cfg	86815e56827262fe231c2901c83bd650780019e2	86815e56827262fe231c2901c83bd650780019e2	true
samples/lib/arrays.sn	554077650c46cc1147a3307976902e7469a2a8a8	554077650c46cc1147a3307976902e7469a2a8a8	true
samples/lib/bytes.sn	0eeb51131dcbde0f1ff442d2a676103b796d7bcb	0eeb51131dcbde0f1ff442d2a676103b796d7bcb	true
samples/lib/closure.sn	cbaba9741069a887167dee0e35701996cf1c70e2	cbaba9741069a887167dee0e35701996cf1c70e2	true
samples/lib/conditionals.sn	e09e16dd37d23190797adafdd4b5539ec45b59f9	e09e16dd37d23190797adafdd4b5539ec45b59f9	true
samples/lib/date.sn	a34e60e397a6aab02a974a105bc643e56c099fd9	a34e60e397a6aab02a974a105bc643e56c099fd9	true
samples/lib/fileio.sn	d94583092e04373bffad023c465b6dd3343aadd9	d94583092e04373bffad023c465b6dd3343aadd9	true
samples/lib/functions.sn	a0d519e940b160b1da55796d004b7ccf51dbebb5	a0d519e940b160b1da55796d004b7ccf51dbebb5	true
samples/lib/lambda.sn	2382492c825024b6e9dc3b4d20bc9a632fe86fbb	2382492c825024b6e9dc3b4d20bc9a632fe86fbb	true
